sama ih aku juga mau kesana wkwk liat ini jd galau 😂,sama ih aku juga mau kesana wkwk liat ini jd galau,netral,Situ Patenggang
modal nekat kak tgl 25 mau kesana 😅,modal nekat kak tgl mau kesana,netral,Situ Patenggang
@AY👑 gmn wehh kita mau kesana juga Minggu depan masih kering ga ya 😭,ay gmn wehh kita mau kesana juga minggu depan masih kering ga ya,netral,Ranca Upas
yahh😌 jngn bikin enggk jdi ini😭,yahh jngn bikin enggk jdi ini,netral,Situ Patenggang
nanti kasih tau ya masih surut ngga nya 😅,nanti kasih tau ya masih surut ngga nya,netral,Ranca Upas
"Aku tgl 9 mau kesana kira"" masi kering ga yaa",aku tgl mau kesana kira masi kering ga yaa,netral,Ranca Upas
"orang:28k
mobil 162k
kalo naik ontang anting per orng nya 50kbuat naik nya doank,kalo turun kebawah nya bayar 50k lgi😌",orangk mobil k kalo naik ontang anting per orng nya kbuat naik nya doankkalo turun kebawah nya bayar k lgi,netral,Ranca Upas
air nya udah ada kak? soalnya beberapa hari lagi mau kesana,air nya udah ada kak soalnya beberapa hari lagi mau kesana,netral,Kawah Putih
"aku gajadi kesana kak, liat temen yg ke tangkuban parahu bulan ini aja mendung bgt dan airnya ga kaya pas aku kesana taun lalu 😭😭",aku gajadi kesana kak liat temen yg ke tangkuban parahu bulan ini aja mendung bgt dan airnya ga kaya pas aku kesana taun lalu,negatif,Gunung Puntang
jadi nantian aja klo mau ke tempat yg ada air air hehe,jadi nantian aja klo mau ke tempat yg ada air air hehe,netral,Situ Patenggang
Parkir motor bayar helm nya bayar juga🤣🤣,parkir motor bayar helm nya bayar juga wkwk,negatif,Situ Patenggang
Aku pas lebaran kesitu 131rb 2org udh termasuk ontang anting. Titip helm beda lagi😂 kemahalan gak sih?😂,aku pas lebaran kesitu rb org udh termasuk ontang anting titip helm beda lagi kemahalan gak sih,negatif,Ranca Upas
kurleb 250 ribuan anjir gatau gua bawa mobil keatas buat 2 orang [cry],kurleb 250 ribuan anjir gatau gua bawa mobil keatas buat orang cry,negatif,Kawah Putih
lagi halodo,lagi halodo,netral,Glamping Lakeside
sama banget kemarin abis dari situ ga sesuai ekpektasi bgtt😂😂,sama banget kemarin abis dari situ ga sesuai ekpektasi bgtt,netral,Kawah Putih
kawah putih begini skrg? 😳,kawah putih begini skrg,netral,Kawah Putih
sampai bila dia kering nii 😭😭,sampai bila dia kering nii,netral,Situ Patenggang
alih alih 😭🤣,alih alih,netral,Situ Patenggang
saking panasnya kali yaa kena matahari. sampe surut🫣🫣,saking panasnya kali yaa kena matahari sampe surut,netral,Ranca Upas
seumur umur gw baru liat kawah putih surut🥺,seumur umur gw baru liat kawah putih surut,netral,Kawah Putih
lah gua ga sekering ini tapi cakep,lah gua ga sekering ini tapi cakep,positif,Ranca Upas
lagi surut 😭 kemarin juga aku ke situu,lagi surut kemarin juga aku ke situu,netral,Situ Patenggang
sekarang masih surut ga yah?,sekarang masih surut ga yah,netral,Kawah Putih
klo aku si pas kesana bawa rombongan sesuai ekspektasi baguus biruuu ceramah adeem🥰,klo aku si pas kesana bawa rombongan sesuai ekspektasi baguus biruuu ceramah adeem,positif,Gunung Puntang
memang kak kalau gk musim hujan pasti kering,memang kak kalau gk musim hujan pasti kering,netral,Situ Patenggang
"kmren ke pinisi, setu petenggang ada air ny tp gk penuh ..",kmren ke pinisi setu petenggang ada air ny tp gk penuh,netral,Glamping Lakeside
aku yg kesana bulan dua kabutnya kandel bet musim ujan😅,aku yg kesana bulan dua kabutnya kandel bet musim ujan,netral,Situ Patenggang
aku beso mau kesana keadaanya gmn ya,aku beso mau kesana keadaanya gmn ya,netral,Ranca Upas
"info waktu yg pas ke kawah putih,bulan dan tanggal brpa?",info waktu yg pas ke kawah putihbulan dan tanggal brpa,netral,Kawah Putih
"waktu 2022 gw pernah kesitu dan sesuai ekspetasi bagus, 2023 kok suruh y",waktu gw pernah kesitu dan sesuai ekspetasi bagus kok suruh y,positif,Gunung Puntang
lahh sedih bgt baru tau bisa surut begini,lahh sedih bgt baru tau bisa surut begini,netral,Kawah Putih
2 mnggu lalu jg ksna kering bnget sama persis gitu..udh 2x ksna sih tp blum pernah pas lg bnyak airnya..surut mulu😅,mnggu lalu jg ksna kering bnget sama persis gituudh x ksna sih tp blum pernah pas lg bnyak airnyasurut mulu,netral,Ranca Upas
"oalah situ patenggang jg surut katanya, kemarin mau kesana gak jadi jadinya di ciwalini aja😄",oalah situ patenggang jg surut katanya kemarin mau kesana gak jadi jadinya di ciwalini aja,netral,Situ Patenggang
"resiko main ke alam, pasti ada moment beruntung dan kurang beruntung buat dapet pemandangan 😁",resiko main ke alam pasti ada moment beruntung dan kurang beruntung buat dapet pemandangan,netral,Ranca Upas
gue pas kesana full kabut😏,gue pas kesana full kabut,negatif,Kawah Putih
untung kemarin gajadi kesini,untung kemarin gajadi kesini,netral,Situ Patenggang
ini pas kapan kaa,ini pas kapan kaa,netral,Situ Patenggang
kemarin tgl 25 kesana sdh aman sentosa ya kakak²,kemarin tgl kesana sdh aman sentosa ya kakak²,netral,Ranca Upas
alhamdulillah bgt kmrn baguuusss carah kabutnya dtg pergi😊,alhamdulillah bgt kmrn baguuusss carah kabutnya dtg pergi,netral,Gunung Puntang
Lah saat,lah saat,netral,Ranca Upas
reall cuuuy😭😭😭,reall cuuuy,netral,Ranca Upas
Kmren jg kesitu keringggg banget😂,kmren jg kesitu keringggg banget,netral,Ranca Upas
pernah ke sini,pernah ke sini,netral,Ranca Upas
"baru kemaren ke situ, sebagian kering sebagian tetep ada air nya ko bagus ga nyesel🥰",baru kemaren ke situ sebagian kering sebagian tetep ada air nya ko bagus ga nyesel,positif,Ranca Upas
skr mah hujan mulu di ciwidey..Bandung jg,skr mah hujan mulu di ciwideybandung jg,netral,Situ Patenggang
cobain ke talaga bodas garut.. mirip bgt sma kawah putih htmnya murah bgtt,cobain ke talaga bodas garut mirip bgt sma kawah putih htmnya murah bgtt,netral,Kawah Putih
hahaha.... sama dtg Desember kemaren kering 😂,hahaha sama dtg desember kemaren kering,netral,Kawah Putih
innalillahi kok bisa sampai surut kering gitu ya,innalillahi kok bisa sampai surut kering gitu ya,netral,Gunung Puntang
kawah putih??😅😅,kawah putih,netral,Kawah Putih
untung bgt td g ke kawah putih😭🤣,untung bgt td g ke kawah putih,netral,Kawah Putih
se w bngt ini pas bulan Oktober kesini wkwk,se w bngt ini pas bulan oktober kesini wkwk,netral,Kawah Putih
Bulan 1 kering jugak ke?,bulan kering jugak ke,netral,Gunung Puntang
padahal kalau ga surut masyaallah pisan 🥰,padahal kalau ga surut masyaallah pisan,netral,Gunung Puntang
"ya Allah makasih, baru ada rencana besok2 mau ke kawah putih. eh liat ini diberanda 😭😭😭",ya allah makasih baru ada rencana besok mau ke kawah putih eh liat ini diberanda,netral,Kawah Putih
kak skarang udh ada airnya blm ya? rencana bsok kesaja,kak skarang udh ada airnya blm ya rencana bsok kesaja,netral,Kawah Putih
bulan ini masih kering nggak ya soalnya mau kesana akhir tahun,bulan ini masih kering nggak ya soalnya mau kesana akhir tahun,netral,Situ Patenggang
"udah lama ga kesini terakhir 2010 tiket masih murce 20K/org
skrg udah ratusan kah?",udah lama ga kesini terakhir tiket masih murce korg skrg udah ratusan kah,netral,Situ Patenggang
skrg da byk berubah ya. gw prgi ke kawah putih tahun 95 atau 96 GT msh asri bgt tmpat nya,skrg da byk berubah ya gw prgi ke kawah putih tahun atau gt msh asri bgt tmpat nya,netral,Kawah Putih
bner bgt wkt aku kesana juga airnya kering🥺,bner bgt wkt aku kesana juga airnya kering,netral,Glamping Lakeside
niat mau kesana hari Sabtu,niat mau kesana hari sabtu,netral,Situ Patenggang
kayaknya pas masih musim kemarau kamaren,kayaknya pas masih musim kemarau kamaren,netral,Kawah Putih
yh aku mau kesana hari Sabtu ka,yh aku mau kesana hari sabtu ka,netral,Gunung Puntang
tahun baru ada airnya gal.ya😭,tahun baru ada airnya galya,netral,Gunung Puntang
masak sih yang tinggal di Bandung Bru dengar 😳 bisa kering,masak sih yang tinggal di bandung bru dengar bisa kering,netral,Gunung Puntang
"baru minggu ini mau kesana
apa masih kering ya",baru minggu ini mau kesana apa masih kering ya,netral,Ranca Upas
pas banget wktu ke bandung awal januari 😂,pas banget wktu ke bandung awal januari,netral,Situ Patenggang
sama kak 😂,sama kak,netral,Gunung Puntang
yah saat😭,yah saat,netral,Situ Patenggang
"masih belum Ada airnya Jg apa bosku, pdhal Rencananya mau ksna Saya Jauh2 Dari jakarta",masih belum ada airnya jg apa bosku pdhal rencananya mau ksna saya jauh dari jakarta,netral,Glamping Lakeside
iya mahal banget masuknya emang😭 cuma pas kedua kali kesana bareng sama temen yg orang asli sana jadi gratis🤣,iya mahal banget masuknya emang cuma pas kedua kali kesana bareng sama temen yg orang asli sana jadi gratis,negatif,Glamping Lakeside
jir kasiannnn,jir kasiannnn,netral,Kawah Putih
wehh isnin depan nak pegi kering ke?? buat berat beg je bwak baju panas kang 😭,wehh isnin depan nak pegi kering ke buat berat beg je bwak baju panas kang,netral,Ranca Upas
"tumben surut,baru tau,pas ada air emang cakep banget",tumben surutbaru taupas ada air emang cakep banget,positif,Situ Patenggang
Sama anjirrr😭😭😭 nyesek banget aing kesana,sama anjirrr nyesek banget aing kesana,negatif,Situ Patenggang
kampung halaman itu,kampung halaman itu,netral,Situ Patenggang
untuk kemarin mau maen gak jadi😁,untuk kemarin mau maen gak jadi,netral,Gunung Puntang
ini sy baru kmaren Selasa kesana kering mana tiket mahaaal pooolll,ini sy baru kmaren selasa kesana kering mana tiket mahaaal pooolll,Negara,Kawah Putih
untung dulu pas bagus pwolll,untung dulu pas bagus pwolll,positif,Kawah Putih
"wkwkwkwwk kmrn jg gue gitu ngab, jauh2 kesana sampe mabok kendaraan eh malah kering😭😭",wkwkwkwwk kmrn jg gue gitu ngab jauh kesana sampe mabok kendaraan eh malah kering,negatif,Situ Patenggang
Nak pergi awal bulan 2 kering jugak ke?😭,nak pergi awal bulan kering jugak ke,netral,Ranca Upas
Sama barusan aja kemaren kamis 😅,sama barusan aja kemaren kamis,netral,Situ Patenggang
desember kering juga ga ya allaahhh,desember kering juga ga ya allaahhh,netral,Kawah Putih
sama pas ke situ patenggang airnya surut😳,sama pas ke situ patenggang airnya surut,netral,Situ Patenggang
Kmrin juga ke curug cikaso kering 😂😂😂,kmrin juga ke curug cikaso kering,netral,Glamping Lakeside
emg brapa tiket nya?,emg brapa tiket nya,netral,Ranca Upas
"dulu 2018 apa ya... 95rb berdua udh naik angkot gt kedalemnya, murah sih kalo dipikir2 tp waktu itu lg gaada uang😁 gatau ya kalo skrng",dulu apa ya rb berdua udh naik angkot gt kedalemnya murah sih kalo dipikir tp waktu itu lg gaada uang gatau ya kalo skrng,netral,Kawah Putih
Skrg 150 2 org😭,skrg 150 2 org,netral,Ranca Upas
Kemarin aku abi 72 rb satu orang,kemarin aku abi 72rb satu orang,netral,Kawah Putih
pas naik mobil buat ke atas nya busettt ngebut banget 😅,pas naik mobil buat ke atas nya busettt ngebut banget,netral,Situ Patenggang
"aku 2016 masih 35rbu satu orang loh, ternyata 2016 tu udah lama bnget ya😅😅",aku masih rbu satu orang loh ternyata tu udah lama bnget ya,netral,Gunung Puntang
ini angkotnya ga pp ya kak?,ini angkotnya ga pp ya kak,netral,Glamping Lakeside
waaah jd penasaran😂 kalo ga salah angkotnya pun terbuka yaa,waaah jd penasaran kalo ga salah angkotnya pun terbuka yaa,netral,Situ Patenggang
"perasaan baru kemarin yaa kak, ternyata 7th yg lalu😂🥺",perasaan baru kemarin yaa kak ternyata th yg lalu,netral,Kawah Putih
hah serius 150rb berdua ahh gilee😳,hah serius rb berdua ahh gilee,negatif,Situ Patenggang
Zaman nahaon ath etamah wkwk,zaman nahaon ath etamah wkwk,netral,Gunung Puntang
Serius mbaa saya sama pcr saya kesituu,serius mbaa saya sama pcr saya kesituu,netral,Glamping Lakeside
Gua taon kmren 218rb berdua bjirrr😒,gua taon kmren rb berdua bjirrr,netral,Situ Patenggang
Nah kan wkwkwkwk itu gua 150 2021😂,nah kan wkwkwkwk itu gua,netral,Glamping Lakeside
iyah seruuu pokok nya 😅,iyah seruuu pokok nya,positif,Glamping Lakeside
pas pertama ke situ si gk kering eh pas hari Sabtu kesitu kering😅,pas pertama ke situ si gk kering eh pas hari sabtu kesitu kering,netral,Glamping Lakeside
berasa bromo,berasa bromo,netral,Glamping Lakeside
kmaren saya kesana dan kawah nya surut juga,kmaren saya kesana dan kawah nya surut juga,netral,Glamping Lakeside
Hari ini aku kesini dan masih kering 😭🤣,hari ini aku kesini dan masih kering,negatif,Glamping Lakeside
halodooooo😂,halodooooo,netral,Ranca Upas
"baru tdi gw kesana.jalan nya juram"" banet😁😂",baru tdi gw kesanajalan nya juram banet,netral,Kawah Putih
gw ksna pas turun kabur.dingin bgt njirr Ampe mengigil,gw ksna pas turun kaburdingin bgt njirr ampe mengigil,netral,Gunung Puntang
sama baru aja kemaren kesitu eh taunya kering tapi ttep enak sih suasananya,sama baru aja kemaren kesitu eh taunya kering tapi ttep enak sih suasananya,positif,Gunung Puntang
halodo😂,halodo,netral,Ranca Upas
itu pas lagi surut,itu pas lagi surut,netral,Situ Patenggang
"kmrin ke ranca upas, udh masuk ke kawah putih, krn pake motor harus pake angkot sana, ah tp jd kluar duid banyak jd ngga jadi, wkwkw",kmrin ke ranca upas udh masuk ke kawah putih krn pake motor harus pake angkot sana ah tp jd kluar duid banyak jd ngga jadi wkwkw,netral,Ranca Upas
"serius udh 150?👀 gw udh lama bet brarti gk kesitu, dulu cukup 60rb 2 orng udh termasuk angkotnya😂",serius udh gw udh lama bet brarti gk kesitu dulu cukup rb orng udh termasuk angkotnya,netral,Gunung Puntang
124k 2 orang berikut ongkos naik pontang panting + parkir motor,k orang berikut ongkos naik pontang panting parkir motor,netral,Kawah Putih
wort it ga si segituu?,wort it ga si segituu,netral,Kawah Putih
wort it aja sih cuma kurangnya jika masuk spot foto harus bayar lagi,wort it aja sih cuma kurangnya jika masuk spot foto harus bayar lagi,positif,Situ Patenggang
ker musim panas atuh da🤣🤣🤣,ker musim panas atuh da,netral,Gunung Puntang
"57k/orang kak, udah inc ontang anting",korang kak udah inc ontang anting,netral,Glamping Lakeside
kemarin 127k berdua masuknya,kemarin k berdua masuknya,netral,Gunung Puntang
mahal bjir ternyataa,mahal bjir ternyataa,negatif,Gunung Puntang
Jgan kaget mba..wisata Jawa barat emang “mantep ticketnya”😬,jgan kaget mbawisata jawa barat emang mantep ticketnya,netral,Kawah Putih
Iya pdahal kalo ke dieng wisata plg mahal 35😂,iya pdahal kalo ke dieng wisata plg mahal,negatif,Gunung Puntang
"masih segitu ya kak, kaget sih pertama mau masuk koq mahal, mau balik lg tanggung udah d pintu masuk😅",masih segitu ya kak kaget sih pertama mau masuk koq mahal mau balik lg tanggung udah d pintu masuk,negatif,Ranca Upas
"aku abi tuh mksdnya apa teh😭😂
mau aku ya aku mau abi ya abi karna artinya sma😂😭",aku abi tuh mksdnya apa teh mau aku ya aku mau abi ya abi karna artinya sma,netral,Ranca Upas
trus kalo pngen masuk kejembatannya bayar lagi gk tau 50k gk tau brpa lupa lagi😭,trus kalo pngen masuk kejembatannya bayar lagi gk tau k gk tau brpa lupa lagi,netral,Glamping Lakeside
kok tambah mahal ya ka aku satu orang 35 tapi pake mobil sendiri gtw kalau naik amgkot,kok tambah mahal ya ka aku satu orang tapi pake mobil sendiri gtw kalau naik amgkot,negatif,Ranca Upas
Taun kemaren kesana 302rb buat 5 orng + mobil pribadi satu😂,taun kemaren kesana rb buat orng mobil pribadi satu,netral,Situ Patenggang
mahal amat yak😂,mahal amat yak,negatif,Kawah Putih
Tth nya tau 2018 hrga msk 95k ya ini 2023 masa iya turun 5rb hmm rupa rupa wae ahh wk🤣🤣,tth nya tau hrga msk k ya ini masa iya turun rb hmm rupa rupa wae ahh wk,netral,Glamping Lakeside
"jdi msih murahan sy yak dlu 2007 msh 50rb 2org,pe skrg g tau lg krn emg g pernh ksno 🤭😁😁",jdi msih murahan sy yak dlu msh rb orgpe skrg g tau lg krn emg g pernh ksno,netral,Ranca Upas
Mana aing sama onang aning foto ini itu beak 500rb deuih 😞😞😞😞,mana aing sama onang aning foto ini itu beak rb deuih,netral,Gunung Puntang
rencana tgl 25 mau ke kawah putih kak 😭,rencana tgl mau ke kawah putih kak,netral,Kawah Putih
infonya dong buat skrg masih kering nggak yahh,infonya dong buat skrg masih kering nggak yahh,netral,Kawah Putih
"Kalo tgl 25 gatau ka siapa tau hujan ka, tp harga tiket masuk kurang wort it ka. Aku kemaren masuk bedua 240k. Tiket kendaraan mobil 160k wkwk .",kalo tgl gatau ka siapa tau hujan ka tp harga tiket masuk kurang wort it ka aku kemaren masuk bedua k tiket kendaraan mobil k wkwk,netral,Ranca Upas
weekend apa weekday kak ? Oalah mahal bgt ya. itu naik ontang anting apa mobilnya bisa masuk kak ?,weekend apa weekday kak oalah mahal bgt ya itu naik ontang anting apa mobilnya bisa masuk kak,negatif,Gunung Puntang
minta info nya Kaka kalau udah kesana ya,minta info nya kaka kalau udah kesana ya,netral,Gunung Puntang
infk kak mah kering kah?,infk kak mah kering kah,netral,Glamping Lakeside
rencana harii ini mau ke kawah putih😭,rencana harii ini mau ke kawah putih,positif,Kawah Putih
aku tgl 25 mau ke kawah putih kak infonya dong masih surut ngga 😭,aku tgl mau ke kawah putih kak infonya dong masih surut ngga,netral,Kawah Putih
paa turun kbut itu waktu bulan kapan ya,paa turun kbut itu waktu bulan kapan ya,netral,Ranca Upas
oh iya ka..naik brti y..trmksh infonya🙏,oh iya kanaik brti ytrmksh infonya,netral,Situ Patenggang
kalau untuk sekarang tiket masuk buat roda 4 di 162k untuk perorang nya di kenakan 28k 😊🙏,kalau untuk sekarang tiket masuk buat roda di k untuk perorang nya di kenakan k,positif,Ranca Upas
iya ka,iya ka,netral,Kawah Putih
wahh lumayan juga ya ka pake kendaraan pribadi😅,wahh lumayan juga ya ka pake kendaraan pribadi,netral,Glamping Lakeside
tuh kn y brti g slhh😁..,tuh kn y brti g slhh,netral,Gunung Puntang
itu sya mbil ny ja kna 150 blm orng nya ka jd klo g slh ingt aku suami sm ank 1 total 200-250n lah,itu sya mbil ny ja kna blm orng nya ka jd klo g slh ingt aku suami sm ank total n lah,netral,Glamping Lakeside
wahh mhal jg ya wlpn mbil yg dsdiaain dr sna jg,wahh mhal jg ya wlpn mbil yg dsdiaain dr sna jg,netral,Kawah Putih
teros sekarang kabarnya gimana😭baru mau kesana mingdep,teros sekarang kabarnya gimanabaru mau kesana mingdep,netral,Ranca Upas
kmrin thun bru juga sprti itu realitanya kering juga a kk.,kmrin thun bru juga sprti itu realitanya kering juga a kk,netral,Situ Patenggang
kok sama nya kak aku ke Situ juga jauh² dari Pekalongan malah danaunya kering,kok sama nya kak aku ke situ juga jauh² dari pekalongan malah danaunya kering,netral,Glamping Lakeside
aku baru kemaren cuma sedikit airny🥺,aku baru kemaren cuma sedikit airny,netral,Glamping Lakeside
menurut aku lebih bagus liat dari sunan ibu tauu,menurut aku lebih bagus liat dari sunan ibu tauu,positif,Glamping Lakeside
Untung kmren ga jadi ke kawah putih😂,untung kmren ga jadi ke kawah putih,netral,Kawah Putih
untung kemaren ga jadi wkwkw,untung kemaren ga jadi wkwkw,netral,Gunung Puntang
buset bandung pun kering,buset bandung pun kering,netral,Glamping Lakeside
"benerr bgtt wkwkw😭,baru semalam hbs dr sana",benerr bgtt wkwkwbaru semalam hbs dr sana,netral,Situ Patenggang
eh sama🙂,eh sama,netral,Ranca Upas
"ahahhahh, untung ak kesana sesuai ekspetasi",ahahhahh untung ak kesana sesuai ekspetasi,positif,Gunung Puntang
hahaha iya gua juga kemakan ekspetasi😂 ber 4 bayar 274 ribu sampe sana kering😂😂,hahaha iya gua juga kemakan ekspetasi ber bayar ribu sampe sana kering,negatif,Situ Patenggang
skrg masih surut?,skrg masih surut,netral,Ranca Upas
text,komentar_bersih,label_sentimen,Ranca Upas
Suatu saat gua bakal kesini di tempat itu bersama orang yg tepat dan terakhir. bismillah😌,suatu saat gua bakal kesini di tempat itu bersama orang yg tepat dan terakhir bismillah,netral,Situ Patenggang
"tambah bagus sekrng, dulu mah gak ada jalan nya kak..🥺🥺",tambah bagus sekrng dulu mah gak ada jalan nya kak,positif,Kawah Putih
auto nyemplung serem gasi😂,auto nyemplung serem gasi,netral,Glamping Lakeside
kawah putih aku kesini dulu 2015 sama kaka kelas skrng udh bagus banget,kawah putih aku kesini dulu sama kaka kelas skrng udh bagus banget,positif,Kawah Putih
"masya allah tambah bagus aq yg kesana jaman kkl 2007-2008,,tp takut lwt jmbtnnya🥺",masya allah tambah bagus aq yg kesana jaman kkl tp takut lwt jmbtnnya,positif,Gunung Puntang
pliss pengen bgt kesini🥺🥺🥺,pliss pengen bgt kesini,netral,Ranca Upas
asli siii kawah putih emang bagus bgt dan seindah itu 🥰,asli siii kawah putih emang bagus bgt dan seindah itu,positif,Kawah Putih
dulu waktu aku kesini ga ada airnya,dulu waktu aku kesini ga ada airnya,netral,Gunung Puntang
"trkhir ksini wktu msih bocil we, skr dah bagus bngt ya😂",trkhir ksini wktu msih bocil we skr dah bagus bngt ya,positif,Gunung Puntang
seru kali yaa bareng pujaan hati🥺,seru kali yaa bareng pujaan hati,positif,Ranca Upas
alhamdulillah... udah pernah kesini thn 2018,alhamdulillah udah pernah kesini thn,netral,Ranca Upas
🥰 Masyaallah cantik banget,masyaallah cantik banget,netral,Kawah Putih
Masya Allah tambah bagus aj,masya allah tambah bagus aj,positif,Gunung Puntang
bagus banget🥰🥰,bagus banget,positif,Ranca Upas
dlu pas kesini airnya kering & pasirnya keliatan jembatanya blm sebagus ini 🥰🥰,dlu pas kesini airnya kering pasirnya keliatan jembatanya blm sebagus ini,positif,Gunung Puntang
"mahal bngt parkir mobilnya , jdi mikir 2 kli mau kesini",mahal bngt parkir mobilnya jdi mikir kli mau kesini,negatif,Gunung Puntang
kawah putih sekarang udah berbeda ya.lebih indah..Kalo aku dulu tu gak ada jembatan.cuma ada bangku di sisi sisinya,kawah putih sekarang udah berbeda yalebih indahkalo aku dulu tu gak ada jembatancuma ada bangku di sisi sisinya,positif,Kawah Putih
bagus bgtttt,bagus bgtttt,positif,Kawah Putih
cantik banget 🥰,cantik banget,netral,Gunung Puntang
kawah putih jadi bagus ya sekarang,kawah putih jadi bagus ya sekarang,positif,Kawah Putih
pengen kesini blm tercapai 😳🥰,pengen kesini blm tercapai,netral,Ranca Upas
bagussss bgt🥺,bagussss bgt,positif,Glamping Lakeside
terakhir ke sini 23 tahun yg lalu dan menyimpan sebuah kenangan indah🥰🥰🥰,terakhir ke sini tahun yg lalu dan menyimpan sebuah kenangan indah,positif,Glamping Lakeside
ini kawah putih ciwidy indah nya,ini kawah putih ciwidy indah nya,positif,Kawah Putih
bbagus bangettt,bbagus bangettt,positif,Gunung Puntang
keren,keren,positif,Glamping Lakeside
mau kesinii🥺🥺,mau kesinii,netral,Gunung Puntang
belum pernah kesini😅,belum pernah kesini,netral,Situ Patenggang
tempat favorit liburan ya ke ciwidey.. byk wisata indah disana🥰🥰🥰🥰🥰,tempat favorit liburan ya ke ciwidey byk wisata indah disana,positif,Kawah Putih
udh lama ngak kesn.....tambah bagus aja tempatnya 😳😳😳,udh lama ngak kesntambah bagus aja tempatnya,positif,Glamping Lakeside
udah 2 x kesini indah banget dan dingin..,udah x kesini indah banget dan dingin,positif,Situ Patenggang
Kangen Bandung 🥺,kangen bandung,netral,Gunung Puntang
kangen ksni lagi,kangen ksni lagi,netral,Gunung Puntang
apa cma q doank klo liat air yg luas kya gt tuch takut bgt🥺,apa cma q doank klo liat air yg luas kya gt tuch takut bgt,netral,Kawah Putih
indah bngt😳,indah bngt,positif,Ranca Upas
Huaaa sekarang sekeren itu ya teh..dlu masih poloss aja udah keren banget kawahputih🥰,huaaa sekarang sekeren itu ya tehdlu masih poloss aja udah keren banget kawahputih,positif,Kawah Putih
anjim banget gw pas banget sama doi di situ🥺tapu sekarang cuman tinggal kenangan doang🥺😌ya Allah ko jadi kangen banget ya 🥺 padahal gw udah moveon,anjim banget gw pas banget sama doi di situtapu sekarang cuman tinggal kenangan doangya allah ko jadi kangen banget ya padahal gw udah moveon,netral,Gunung Puntang
"ya Allah pgn kesini... terakhir Thn 2008🤭. tp sok kasuat"" klo kesini ada kenangan prawedd yg batal nikah #alfatihah buat alm 🤲",ya allah pgn kesini terakhir thn tp sok kasuat klo kesini ada kenangan prawedd yg batal nikah alfatihah buat alm,netral,Ranca Upas
terakhir kesini taun 2019..,terakhir kesini taun,netral,Situ Patenggang
indah banget,indah banget,positif,Kawah Putih
bagus bangettt 😳,bagus bangettt,positif,Glamping Lakeside
dulu sebuelum ada jambatan bagus bngat pemandangan a,dulu sebuelum ada jambatan bagus bngat pemandangan a,positif,Kawah Putih
sumpah ini tuh bagus bngt view nya bagus bngt buat foto apa LG buat prewed.udah 2 kali kesana ga bosen pengen lg,sumpah ini tuh bagus bngt view nya bagus bngt buat foto apa lg buat prewedudah kali kesana ga bosen pengen lg,positif,Ranca Upas
bagussss bangetttttttttt,bagussss bangetttttttttt,positif,Ranca Upas
ya Allah jadi pengen kesini lagi 🥺🥺🥺dulu kesini air nya lagi surut🥺🥺,ya allah jadi pengen kesini lagi dulu kesini air nya lagi surut,netral,Situ Patenggang
cantik tempatnya mba,cantik tempatnya mba,netral,Glamping Lakeside
keren bgt🥰,keren bgt,positif,Ranca Upas
aw indah bgt sumpah ciptaan tuhan,aw indah bgt sumpah ciptaan tuhan,positif,Gunung Puntang
"udh keren y skrg😁😁,,",udh keren y skrg,positif,Glamping Lakeside
nyesal waktu kesini berkabut jd susah dapet view bagus dr drone...,nyesal waktu kesini berkabut jd susah dapet view bagus dr drone,positif,Kawah Putih
jembatannya kuat itu.takut 😳,jembatannya kuat itutakut,netral,Kawah Putih
Terakhir aku kesitu 2018 sekrang sudah banyak yang berubah 🥰aku rindu jalan” ke Bandung 🥰,terakhir aku kesitu sekrang sudah banyak yang berubah aku rindu jalan ke bandung,netral,Glamping Lakeside
emg tempatnya sebagus itu wehhhhh🤗,emg tempatnya sebagus itu wehhhhh,positif,Glamping Lakeside
semoga nanti bisa kesini dengan org tersayang 🥰🥰🥰,semoga nanti bisa kesini dengan org tersayang,netral,Gunung Puntang
yaAllah semoga satu saat aku bisa kesini bersama keluarga dan jodohku😁,yaallah semoga satu saat aku bisa kesini bersama keluarga dan jodohku,netral,Situ Patenggang
"Subhanallah Indah'nya, jd pengen ksana ☺",subhanallah indahnya jd pengen ksana,positif,Gunung Puntang
bagus bgt,bagus bgt,positif,Situ Patenggang
indah bgt yaa😳,indah bgt yaa,positif,Gunung Puntang
"saya pribumi asli ciwidey baru satu kali kesini, itu juga belum ada jembatan nya 🤣",saya pribumi asli ciwidey baru satu kali kesini itu juga belum ada jembatan nya,netral,Gunung Puntang
wah keren yah s🥰ekarang,wah keren yah sekarang,positif,Gunung Puntang
klo musim hujan selalu sprti ini indah nya masyallah😍,klo musim hujan selalu sprti ini indah nya masyallah,positif,Glamping Lakeside
@punyatantitw kesini yu,punyatantitw kesini yu,netral,Ranca Upas
@yzcos_ kesini ajaa,yzcos_ kesini ajaa,netral,Gunung Puntang
"@matchiesss⚯͛ ϟ kesini yu kapan""",matchiesss ϟ kesini yu kapan,netral,Situ Patenggang
@DonnyLatif kesini blm kesampaian wktu kebandung🥲,donnylatif kesini blm kesampaian wktu kebandung,netral,Glamping Lakeside
@itemmmn kesini yuk,itemmmn kesini yuk,netral,Kawah Putih
@cc11_ kesini aja dulu yukkk,cc_ kesini aja dulu yukkk,netral,Situ Patenggang
